Name (JPN romaji),Name (FR),Element,Gender,TeamID,Position,TP,Kick,Body,Control,Guard,Speed,Catch,Key bonus,Kakusei
Fran ,Flora,Wind,Female,24.0,FW,170.0,110.0,100.0,90.0,90.0,100.0,80.0,Catch +2/Speed +2,2.0
Tsurugi Yuuichi ,Vladimir Blade,Fire,Male,89.0,FW,160.0,110.0,100.0,100.0,90.0,90.0,80.0,Kick +4,3.0
Saryuu Evan (SARU),Siméon Ayp,Earth,Male,89.0,FW,160.0,110.0,100.0,100.0,90.0,90.0,80.0,Control +4,3.0
Saryuu Evan x S Idenshi,Simeon x Gene S,Earth,Male,102.0,FW,160.0,110.0,100.0,100.0,90.0,90.0,80.0,Control +4,2.0
Lubbock Henktacker ,Phil A. Minion,Fire,Male,10.0,DF,180.0,70.0,100.0,100.0,90.0,70.0,90.0,Catch +2/Body +2,2.0
Orca ,November,Fire,Female,20.0,MF,180.0,90.0,100.0,90.0,90.0,90.0,90.0,Kick +2/Speed +2,2.0
Dorimu ,Foxtrot,Wind,Male,20.0,MF,160.0,90.0,100.0,100.0,90.0,100.0,90.0,Guard +2/Speed +2,2.0
Taki Yoshihiko ,Bradford Ash,Earth,Male,21.0,FW,180.0,90.0,100.0,100.0,90.0,90.0,60.0,Kick +2/Speed +2,2.0
Rhionne,Rhine,Wind,Female,6.0,MF,160.0,70.0,100.0,80.0,90.0,100.0,80.0,Body +2/Speed +2,2.0
San ,Sterne,Wood,Male,89.0,FW,180.0,110.0,100.0,100.0,90.0,100.0,80.0,Kick +2/Speed +2,2.0
Shinjami ,Sapta,Fire,Female,23.0,MF,170.0,90.0,100.0,90.0,90.0,90.0,90.0,Body +2/Control +2,2.0
Shourinji Ayumu (Dark Emperors),Tim Saunders (Empereurs Noirs),Wood,Male,7.0,MF,190.0,80.0,100.0,80.0,100.0,80.0,90.0,Guard +2/Speed +2,2.0
Ginis Jinkins ,Jynx Jenkins,Wood,Male,12.0,DF,180.0,80.0,100.0,80.0,100.0,70.0,90.0,Catch +2/Guard +2,2.0
Alessandro Rossa ,Alessandro Rossa,Wood,Male,17.0,MF,190.0,70.0,100.0,80.0,100.0,80.0,80.0,Kick +2/Catch +2,2.0
Belzebu ,Bael,Earth,Male,11.0,DF,190.0,80.0,100.0,80.0,110.0,90.0,80.0,Body +2/Speed +2,2.0
Makari Ginjirou ,Iggie Loo,Wind,Male,21.0,DF,170.0,80.0,100.0,90.0,110.0,80.0,70.0,Guard +2/Speed +2,3.0
Rinne Makoto ,Shady Shwartz,Earth,Male,15.0,MF,170.0,90.0,110.0,100.0,70.0,90.0,60.0,Catch +2/Body +2,3.0
Baddap Sleed ,Bash Lancer,Wood,Male,12.0,FW,180.0,110.0,110.0,90.0,70.0,90.0,70.0,Kick +2/Speed +2,2.0
Kageyama Hikaru ,Lucien Dark,Wood,Male,14.0,FW,150.0,100.0,110.0,90.0,80.0,110.0,60.0,Kick +2/Speed +2,2.0
Henmi Wataru ,Herman Waldon,Wind,Male,2.0,MF,170.0,90.0,110.0,90.0,80.0,90.0,70.0,Guard +2/Speed +2,2.0
Mark Kruger ,Mark Krueger,Wood,Male,10.0,MF,180.0,90.0,110.0,80.0,80.0,80.0,70.0,Kick +2/Body +2,2.0
Windy Faster ,Zephyr Vitesse,Wind,Male,16.0,DF,150.0,60.0,110.0,80.0,80.0,100.0,70.0,Speed +4,2.0
Mephisto ,Malphas,Wind,Male,11.0,MF,150.0,90.0,110.0,90.0,80.0,80.0,80.0,Guard +2/Control +2,2.0
Maxi Kuu ,Maximino,Wind,Male,16.0,MF,170.0,70.0,110.0,80.0,80.0,90.0,70.0,Kick +2/Control +2,2.0
Nice Dolphin ,Dolphin Hensen,Wind,Male,10.0,MF,170.0,70.0,110.0,100.0,80.0,80.0,80.0,Catch +2/Control +2,2.0
Winel ,Wenel,Fire,Male,11.0,MF,170.0,90.0,110.0,90.0,80.0,90.0,80.0,Catch +2/Speed +2,2.0
Clark Wonderbot ,Clark von Wunderbar,Wind,Male,89.0,FW,120.0,110.0,110.0,90.0,80.0,80.0,110.0,Catch +4,2.0
Shuu,Tezcat,Wood,Male,15.0,FW,160.0,90.0,110.0,110.0,90.0,90.0,70.0,Kick +2/Control +2,3.0
Nishiki x Sakamoto ,Ryoma x Sakamoto,Earth,Male,102.0,MF,160.0,90.0,110.0,100.0,90.0,80.0,70.0,Kick +2/Body +2,2.0
Fudou Akio (ILJ),Caleb Stonewall (ILJ),Fire,Male,18.0,MF,170.0,100.0,110.0,100.0,90.0,100.0,80.0,Body +2/Control +2,2.0
Tenma x Shuu ,Arion x Tezcat,Wind,Male,19.0,MF,180.0,90.0,110.0,90.0,90.0,90.0,80.0,Kick +2/Body +2,2.0
Tenma x Arthur ,Arion x Arthur,Wind,Male,19.0,MF,180.0,90.0,110.0,90.0,90.0,90.0,80.0,Kick +2/Body +2,2.0
Goburis ,Asta,Earth,Male,23.0,MF,160.0,90.0,110.0,90.0,90.0,100.0,80.0,Control +2/Speed +2,2.0
Okiddo ,Orchidée,Wind,Male,24.0,MF,160.0,100.0,110.0,100.0,90.0,100.0,80.0,Kick +2/Guard +2,2.0
Laven ,Lilas,Wood,Male,24.0,MF,150.0,70.0,110.0,100.0,90.0,100.0,80.0,Catch +2/Body +2,2.0
Afuro Terumi (Adult),Byron Love (Adulte),Wood,Male,89.0,MF,170.0,100.0,110.0,100.0,90.0,90.0,80.0,Kick +4,2.0
Kidou Yuuto (ILJ),Jude Sharp (ILJ),Wind,Male,18.0,MF,160.0,100.0,110.0,110.0,90.0,90.0,90.0,Control +2/Speed +2,2.0
Dande ,Pissenlit,Fire,Male,24.0,MF,180.0,90.0,110.0,90.0,90.0,100.0,90.0,Body +4,2.0
Nishiki Ryouma ,Ryoma Nishiki,Earth,Male,14.0,MF,160.0,90.0,110.0,100.0,90.0,80.0,70.0,Kick +2/Body +2,3.0
Kishibe Taiga ,Bay Laurel,Earth,Male,21.0,MF,170.0,90.0,110.0,80.0,90.0,100.0,70.0,Body +4,3.0
Matsukaze Tenma (Tenmas),Arion Sherwind (Sherwinds),Wind,Male,19.0,MF,180.0,90.0,110.0,90.0,90.0,90.0,80.0,Kick +2/Body +2,2.0
Rei Rukh ,Ar Ecks,Earth,Male,89.0,MF,150.0,90.0,110.0,100.0,90.0,90.0,80.0,Kick +4,2.0
Gamma ,Gamma,Wood,Male,20.0,FW,190.0,110.0,110.0,90.0,90.0,100.0,90.0,Body +2/Guard +2,3.0
Viola ,Fuchsia,Wind,Male,24.0,MF,160.0,90.0,110.0,90.0,100.0,100.0,80.0,Kick +2/Catch +2,2.0
Kamomi ,Camomille,Earth,Female,24.0,MF,170.0,90.0,110.0,100.0,100.0,100.0,90.0,Guard +2/Speed +2,2.0
Yamana Akane ,Rodie Redd,Wind,Female,89.0,MF,160.0,80.0,110.0,100.0,100.0,80.0,70.0,Speed +4,2.0
