ID,Name(Romaji),Name(Localised),Nickname,Gender,Game,Type,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Total Stats,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,円堂,男 (Male),イナズマイレブン,選手 (Player),GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,90.0,97.0,91.0,98.0,105.0,111.0,97.0,689,Keep > Keep,Keep > Keep | Shoot > Shoot
2916,Bokuhiko Sagamihara,Sid Steppe,相模原,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,FW,林 (Forest),Bond,Power Shot | Future Eye | Fortissimo,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Shoot > Offense,Offense > Offense | Shoot > Shoot
2917,Heami Bando,Rhonda House,ヘアバン,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,山 (Mountain),Rough Play,Curving Cut | Blast Mine | Pancake Defence,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2918,Sabahito Shibuichi,Francis Shoe,よんぶいち,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,山 (Mountain),Rough Play,Power Shot | Boomerang Bluff | Jumping Jack ,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
2919,Sugao Nukabachi,Ken Haddow,額鉢,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,風 (Wind),Tension,Deceptive Step | Spin Meister | Easy Breezy Kid,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2920,Kurazo Tabuchi,Price Shaids,田渕,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,MF,林 (Forest),Justice,Nutmeg | Stomper Stopper | Big Ball Trick,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
2921,Shuji Watarinuki,Patton Fairway,渡貫,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,林 (Forest),Rough Play,Curving Cut | Hey Presto | Hunter's Net,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2922,Manaka Moeha,Philippa Belle,萌葉,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Breach,Heel Flick | Bouncing Bomb | Swallow Counter,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2923,Satori Meiseki,Des Eving,明析,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,林 (Forest),Bond,Cunning Pull | Future Eye | Hunter's Net,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
2924,Shosuke Takeoka,Newt Lease,竹陸,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,FW,火 (Fire),Bond,Feint Play | Bouncing Bomb | Goopy Gloopy Goo,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Shoot,Defense > Defense | Shoot > Shoot
2925,Kansuke Yashiki,Armand Sedate,邸,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,山 (Mountain),Justice,Deceptive Step | Fractal Repeller | Dance on Air,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2926,Aruji Kokuo,Kingley Blackcrown,くろおう,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,MF,火 (Fire),Justice,Heel Flick | Combustion Catch | Swallow Counter,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
2927,Sokichi Kurosawa,Bishopp Blackside,くろそう,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,火 (Fire),Tension,Dust Kick | Runaway Train | Swallow Counter,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2928,Kihei Kurosawa,Nate Blackside,くろナイト,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Tension,Heel Flick | Bouncing Bomb | Bungee Ball Burst,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2929,Tanku Kurosawa,Rook Blackside,くろルーク,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,火 (Fire),Tension,Rolling Steal | Heart Beat | Pincer Pinch,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
2930,Himeko Kokuo,Queenie Blackcrown,くろひめ,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Breach,Heel Flick | Bouncing Bomb | Bungee Ball Burst,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2931,Pusuke Kuroishi,Tre Blackley,くろふ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,火 (Fire),Justice,Dust Kick | Runaway Train | Criss-Cross,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2932,Agenari Norikawa,Ernest Etson,テンガロン,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,DF,林 (Forest),Justice,Rolling Steal | Stomper Stopper | Hunter's Net,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Defense > Keep,Keep > Keep | Defense > Defense
2933,Joki Marusara,Turner Tabel,丸盤,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Bond,Feint Dash | Bouncing Bomb | Bungee Ball Burst,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2934,Tabero Neyama,Reilly Italot,寧山 (Mountain),男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,林 (Forest),Tension,Deceptive Step | Thief's Eye | Big Ball Trick,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2935,Norio Hasayama,Rocky McCanns,挟山 (Mountain),男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,風 (Wind),Breach,Dust Kick | Hyper-Swiper | Easy Breezy Kid,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2936,Takeno Shiigi,Nash Room,椎樹,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,火 (Fire),Justice,Feint Dash | Fire Drill | Bungee Ball Burst,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2937,Kurusu Fukuyama,Will Lusion,福山 (Mountain),男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,火 (Fire),Rough Play,Dust Kick | Slice and Dice | Plasma Cut,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2938,Kyoshiro Utakata,Christian Ball,シシ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,MF,火 (Fire),Tension,Nutmeg | Combustion Catch | Swallow Counter,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
2939,Tagame Kimura,Lynne Wildcat,きじょ,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,林 (Forest),Breach,Heel Flick | Bouncing Bunny | Big Ball Trick,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2940,Atsushi Kamada,Shaun Asparr,ごえもん,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,FW,山 (Mountain),Bond,Heel Flick | Bouncing Bomb | Acrobatic Keep,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Shoot,Offense > Offense | Shoot > Shoot
2941,Kumanobu Michisuji,Don Prima,すじぐま,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,FW,山 (Mountain),Bond,Curving Cut | Bouncing Bunny | Okehazama Ravine,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Shoot,Defense > Defense | Shoot > Shoot
2942,Kuromaru Koyasuda,Doug Spoddy,くろこ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,林 (Forest),Bond,Heel Flick | Thief's Eye | Big Ball Trick,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2943,Saiji Shishimine,Faulk Dansa,オオジシ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,風 (Wind),Justice,Rolling Steal | Dragster | Whirlpool,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2944,Shunsuke Hayabusa,Nick Yergrub,ごうだつ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,DF,火 (Fire),Counter,#N/A,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,#N/A,#N/A
2945,Nusuhiko Kaito,Cain Cavalier,会唐,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Bond,Crosscut Feint | Bouncing Bomb | Criss-Cross,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2946,Taketoshi Kitashita,Selwyn Crawler,ほっかむり,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,林 (Forest),Justice,Dust Kick | Tesla Coil | Big Ball Trick,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2947,Seiji Yotsui,Saul Durban,四井,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,風 (Wind),Breach,Crosscut Feint | Cyclone Sprint | Easy Breezy Kid,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2948,Kakeru Ango,Algo Rithm,サイファー,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Rough Play,Nutmeg | Bouncing Bomb | Criss-Cross,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2949,Seoko Kisugi,Posy Striker,生椙,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,林 (Forest),Rough Play,Crosscut Feint | Tesla Coil | Big Ball Trick,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2950,Tomekichi Kaei,Adi Sivfeet,ゲコ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,林 (Forest),Justice,Feint Dash | Mystifying Mist | Big Ball Trick,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2951,Reo Kamei,Camille Aeon,カメレー,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,風 (Wind),Counter,Crosscut Feint | Cyclone Sprint | Frosticle,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2952,Takanori Arinami,Axel Lottle,ルーパー,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,風 (Wind),Breach,Cunning Pull | Log Roll | Whirlpool,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
2953,Jami Omori,Ada Vyper,ジャミ,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Rough Play,Power Shot | Heart Beat | Warhead,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
2954,Kenji Koura,Sheldon Myrtle,カメー,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,MF,林 (Forest),Rough Play,Deceptive Step | Stomper Stopper | Big Ball Trick,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
2955,Keita Asato,Callum Rocke,アリゲイタ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Bond,Dust Kick | Bouncing Bomb | Bungee Ball Burst,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2956,Yaku Kabutenji,Jack Skipper,きゃぷてん,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,DF,火 (Fire),Breach,Power Catch | Fire Drill | Rotary Sander,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
2957,Hitoshi Maji,Ruben Lamp,マジジン,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,山 (Mountain),Bond,Curving Cut | Blast Mine | Pancake Defence,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2958,Kirie Saotome,Hilda Brunner,キリィ,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,林 (Forest),Rough Play,Crosscut Feint | Optimal Trajectory | Big Ball Trick,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2959,Rui Sento,Eolia Amhart,スピリッツ,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,風 (Wind),Rough Play,Feint Dash | Cyclone Sprint | Easy Breezy Kid,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2960,Gai Okabuto,Plato Mail,カブト,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,火 (Fire),Tension,Cunning Pull | Heart Beat | Goopy Gloopy Goo,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2961,Hitomi Mikoto,Dreama Paris,メイド,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,DF,風 (Wind),Rough Play,Feint Play | Anchors Aweigh | Whirlpool,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Defense > Keep,Keep > Keep | Defense > Defense
2962,Yonosuke Goto,Wally Ramm,ゴウト,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,火 (Fire),Bond,Deceptive Step | Overnight Fortress | Swallow Counter,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2963,Sojiro Takagaki,Falco Peregrine,ホーク,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,風 (Wind),Bond,Feint Dash | Cyclone Sprint | Easy Breezy Kid,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2964,Norihito Eren,Paco Dermott,パオーン,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,DF,山 (Mountain),Tension,Cunning Pull | Breath Taker | Okehazama Ravine,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Defense > Keep,Keep > Keep | Defense > Defense
2965,Tarao Miya,Snorri Sloth,ナマケモノ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,山 (Mountain),Breach,Cunning Pull | Boomerang Bluff | Okehazama Ravine,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2966,Yasumasa Amuro,Rory Tigre,トラ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Breach,Deceptive Step | Bouncing Bomb | Plasma Cut,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2967,Iyo Tsuyununo,Barbara Bitt,ウサギ,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,林 (Forest),Rough Play,Feint Dash | Optimal Trajectory | Big Ball Trick,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2968,Nintaro Ao,Bloomer Topp,あおおに,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,MF,風 (Wind),Justice,Feint Dash | Somersault Stamp | Frosticle,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
2969,Kunitsu Inui,Spike Echidna,てんぐ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Rough Play,Power Shot | Heart Beat | Warhead,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
2970,Kawahachi Senoo,Sal Armando,カッパー,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,風 (Wind),Tension,Dust Kick | Hyper-Swiper | Easy Breezy Kid,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2971,Ichimoku Irimichi,Shai Klopps,にゅうどう,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,山 (Mountain),Breach,Curving Cut | Blast Mine | Okehazama Ravine,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2972,Yuko Suzukaze,Janice Queen,ゆきおんな,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,風 (Wind),Bond,Shoulder Tackle | Easy Breezy | Whirlpool,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
2973,Koko Furutami,Serena Halcyon,ワラシ,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,火 (Fire),Tension,Cunning Pull | Heart Beat | Goopy Gloopy Goo,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
2974,Osamu Kanuka,Gus Tronom,かがく,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,山 (Mountain),Tension,Dust Kick | Jumbo Sandwich | Rising Dragon,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2975,Rikako Kenku,Mollie Cular,理化子,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,林 (Forest),Justice,Power Shot | Transporter Device | Fortissimo,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
2976,Kazuto Tsuchi,Spark Volt,エレキ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,風 (Wind),Bond,Nutmeg | Cyclone Sprint | Frosticle,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2977,Naritaka Tsurusaka,Tex Tuber,フラスコ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,FW,火 (Fire),Breach,Deceptive Step | Bouncing Bomb | Plasma Cut,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Shoot,Offense > Offense | Shoot > Shoot
2978,Ukenobu Gendo,Ross Seption,パラボラ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,風 (Wind),Breach,Dust Kick | Cyclone Sprint | Frosticle,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2979,Hakaru Bunto,Luke Dwight,フンドウ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,DF,山 (Mountain),Counter,Rolling Steal | Breath Taker | Acrobotics,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Defense > Keep,Keep > Keep | Defense > Defense
2980,Kitaru Orikawa,Hunter Wanabi,降川,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,MF,風 (Wind),Justice,Heel Flick | Anchors Aweigh | Easy Breezy Kid,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
2981,Kunio Otawara,Walden Squire,大田原,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,山 (Mountain),Justice,Feint Dash | Spin Meister | Rising Dragon,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2982,Shido Reimei,Millie Terry,令鳴,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,山 (Mountain),Bond,Crosscut Feint | Bouncing Bomb | Acrobatic Keep,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2983,Uchisusu Totsuba,Pontius Blank,チャージ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,風 (Wind),Justice,Curving Cut | Easy Breezy | Whirlpool,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2984,Seishiro Uchimura,Marcus Maan,内村,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,林 (Forest),Counter,Heel Flick | Thief's Eye | Big Ball Trick,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2985,Temoko Suni,Gwen Slinga,にちょう,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,山 (Mountain),Justice,Rolling Steal | Blast Mine | Pancake Defence,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2986,Yasuki Torai,Isaac Celise,サンカク,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Bond,Nutmeg | Bouncing Bomb | Swallow Counter,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2987,Hidetatsu Madoka,Radius Pye,エン,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,風 (Wind),Justice,Feint Dash | Cyclone Sprint | Easy Breezy Kid,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
2988,Motozumi Sukue,Rick Tangle,しかく,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,林 (Forest),Rough Play,Cunning Pull | Transporter Device | Spatial Portal,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
2989,Noriko Batsu,Xanthe Crosse,ばつ,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,風 (Wind),Counter,Crosscut Feint | Hyper-Swiper | Frosticle,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2990,Toshio Daike,Trappy Zeum,だいけい,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,MF,山 (Mountain),Breach,Dust Kick | Breath Taker | Rising Dragon,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
2991,Hinoki Aogida,Ken Dough,おうぎ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,FW,林 (Forest),Tension,Feint Dash | Bouncing Bunny | Big Ball Trick,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Shoot,Offense > Offense | Shoot > Shoot
2992,Takemu Maimine,Sam Arritan,ブレイブ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,火 (Fire),Bond,Heel Flick | Bouncing Bomb | Plasma Cut,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2993,Kenji Fukune,Simon Cleric,ビショップ,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,MF,風 (Wind),Bond,Dust Kick | Anchors Aweigh | Easy Breezy Kid,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
2994,Sadakage Harada,Archie Valry,パラディン,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,林 (Forest),Bond,Feint Dash | Magnetism | Big Ball Trick,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
2995,Sai Shinada,Howard Robin,ロビン,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,FW,山 (Mountain),Counter,Shoulder Tackle | Bouncing Bomb | Acrobotics,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Shoot,Defense > Defense | Shoot > Shoot
2996,Eimi Hatsuichi,Esme Hexe,ウィッチ,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,林 (Forest),Bond,Feint Play | Transporter Device | Hunter's Net,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
2997,Chikara Kadohisa,Freyer Monk,モンク,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,山 (Mountain),Counter,Rolling Steal | Blast Mine | Okehazama Ravine,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
2998,Toshihisa Shiibata,Caetano Settler,椎発田,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),FW,MF,風 (Wind),Rough Play,Crosscut Feint | Spin Meister | Frosticle,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
2999,Ro Itakayama,Saul Hermit,一高山 (Mountain),男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,FW,林 (Forest),Justice,Deceptive Step | Optimal Trajectory | Big Ball Trick,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Shoot,Offense > Offense | Shoot > Shoot
3000,Hotsumi Sunaga,Ollie Impix,須永,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),GK,MF,山 (Mountain),Breach,Nutmeg | Breath Taker | Acrobatic Keep,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
3001,Kotomi Neiji,Kit Cymbal,琴美,女 (Female),イナズマイレブンGO シャイン／ダーク,選手 (Player),DF,MF,火 (Fire),Rough Play,Rolling Steal | Heart Beat | Pincer Pinch,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
3002,Kenichi Mieto,Al Overa,三干支,男 (Male),イナズマイレブンGO シャイン／ダーク,選手 (Player),MF,DF,山 (Mountain),Counter,Nutmeg | Jumbo Sandwich | Acrobatic Keep,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
