Name,Japanese Name,Element,Power,Tension,Type,Sub-Type,Shop 1,Shop 2,Duration (s)
Black Hole,ブラックホール,林 (Forest),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.16
Barrier Reef,グレートバリアリーフ,風 (Wind),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.69
Galatyn,ガラティーン,風 (Wind),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.32
Anchors Aweigh,ハイドロアンカー,風 (Wind),50.0,50,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.19
Shadow Catch,影掴み,林 (Forest),50.0,50,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.46
Somersault Stamp,ムーンサルトスタンプ,風 (Wind),50.0,50,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.94
Breath Taker,エクセレントブレスト,山 (Mountain),50.0,50,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.06
Sonic Shot,ソニックショット,風 (Wind),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.32
Chip Shot,,,30.0,30,Shoot,,Special Training Booth,,
Curve Shot,,,30.0,30,Shoot,,Special Training Booth,,
Bounce Shot,,,30.0,30,Shoot,,Special Training Booth,,
Power Shot,,,30.0,30,Shoot,,Special Training Booth,,
Low Drive,,,30.0,30,Shoot,,Special Training Booth,,
Wrath Shot,百烈ショット,林 (Forest),50.0,50,Shoot,,Special Training Booth,,4.12
Grenade Shot,グレネードショット,火 (Fire),50.0,50,Shoot,,Special Training Booth,,3.52
Spinning Shot,スピニングシュート,風 (Wind),50.0,50,Shoot,,Special Training Booth,,5.27
Clone Shot,分身シュート,林 (Forest),50.0,50,Shoot,,Special Training Booth,,6.54
Spiral Shot,スパイラルショット,風 (Wind),50.0,50,Shoot,,Special Training Booth,,3.94
Reflect Buster,リフレクトバスター,山 (Mountain),60.0,60,Shoot,,Special Training Booth,,6.62
Kung Fu Header,クンフーヘッド,林 (Forest),50.0,50,Shoot,,Special Training Booth,,4.81
Divine Arrows,ディバインアロー,風 (Wind),60.0,60,Shoot,,Special Training Booth,,5.44
Back Tornado,バックトルネード,風 (Wind),60.0,60,Shoot,Counter Shoot,Special Training Booth,,4.96
Dark Tornado,ダークトルネード,林 (Forest),60.0,60,Shoot,Counter Shoot,Special Training Booth,,4.61
Rainbow Arc,レインボーループ,山 (Mountain),50.0,50,Shoot,Long Shoot,Special Training Booth,,5.32
Acrobat Bomber,トカチェフボンバー,林 (Forest),60.0,60,Shoot,,Special Training Booth,,5.45
Fire Blizzard,ファイアブリザード,風 (Wind),85.0,80,Shoot,,Special Training Booth,,6.19
Triple Boost,トリプルブースト,火 (Fire),85.0,80,Shoot,Long Shoot,Special Training Booth,,5.92
Cross Fire,クロスファイア,火 (Fire),100.0,100,Shoot,,Special Training Booth,,6.37
Whirlwind Drop,竜巻落とし,風 (Wind),85.0,80,Shoot,,Special Training Booth,,7.18
Mirage Shot,ミラージュシュート,林 (Forest),60.0,60,Shoot,,Special Training Booth,,5.89
Double Jaw,ダブル・ジョー,火 (Fire),60.0,60,Shoot,,Special Training Booth,,6.16
Dark Matter,ダークマター,林 (Forest),60.0,60,Shoot,Counter Shoot,Special Training Booth,,5.76
Brimstone Rain,ジョーカーレインズ,林 (Forest),70.0,70,Shoot,,Special Training Booth,,7.2
Snowstorm Leopard,パンサーブリザード,風 (Wind),70.0,70,Shoot,,Special Training Booth,,6.13
Spin Meister,スピニングトランザム,風 (Wind),50.0,50,Shoot,,Special Training Booth,,6.22
Accelerator Gears,ギアドライブ,山 (Mountain),60.0,60,Shoot,,Special Training Booth,,6.52
Twin Sun Smash,双飛遊星弾,山 (Mountain),70.0,70,Shoot,Counter Shoot,Special Training Booth,,7.27
Spring Thunderclap,春雷,風 (Wind),100.0,100,Shoot,,Special Training Booth,,8.44
Sunshine Splitter,サンシャインブレード,火 (Fire),60.0,60,Shoot,,Special Training Booth,,8.61
Force Flash,剛の一閃,山 (Mountain),60.0,60,Shoot,,Special Training Booth,,7.06
Swirly Shot,ぐるぐるシュート,風 (Wind),50.0,50,Shoot,,Special Training Booth,,5.79
Cheat Blaster,チートブラスター,火 (Fire),70.0,70,Shoot,,Special Training Booth,,7.21
Sniper Shot,エイムショット,山 (Mountain),50.0,50,Shoot,,Special Training Booth,,5.51
Royal Penguin Parade,ペンギン・ザ・パレード,林 (Forest),85.0,80,Shoot,,Special Training Booth,,9.14
Meteoric Fire Tornado,メテオッド・ファイアトルネード,火 (Fire),85.0,80,Shoot,,Special Training Booth,,
Bahamut Crash,バハムートクラッシュ,林 (Forest),70.0,70,Shoot,,Special Training Booth,,
Heavenly Thunder,天空サンダー,風 (Wind),60.0,60,Shoot,,Special Training Booth,,8.36
Dust Kick,,,30.0,30,Offense,,Special Training Booth,,
Crosscut Feint,,,30.0,30,Offense,,Special Training Booth,,
Heel Flick,,,30.0,30,Offense,,Special Training Booth,,
Nutmeg,,,30.0,30,Offense,,Special Training Booth,,
Feint Dash,,,30.0,30,Offense,,Special Training Booth,,
Deceptive Step,,,30.0,30,Offense,,Special Training Booth,,
Zipzag Spark,ジグザグスパーク,風 (Wind),50.0,50,Offense,,Special Training Booth,,
Super Armadillo,スーパーアルマジロ,山 (Mountain),50.0,50,Offense,,Special Training Booth,,3.74
Afterimage,残像,林 (Forest),60.0,60,Offense,,Special Training Booth,,5.49
Mole Fake,モグラフェイント,山 (Mountain),50.0,50,Offense,,Special Training Booth,,3.98
Deceptor Dribble,まぼろしドリブル,林 (Forest),60.0,60,Offense,,Special Training Booth,,5.89
Double Touch,ひとりワンツー,火 (Fire),60.0,60,Offense,,Special Training Booth,,5.72
Aikido,合気道,風 (Wind),70.0,70,Offense,,Special Training Booth,,6.14
Meteor Shower,メテオシャワー,火 (Fire),70.0,70,Offense,,Special Training Booth,,6.67
The Ikaros,ジ・イカロス,火 (Fire),70.0,70,Offense,,Special Training Booth,,7.29
Super Elastico,スーパーエラシコ,山 (Mountain),60.0,60,Offense,,Special Training Booth,,6.07
Ultra Moon,ウルトラムーン,林 (Forest),70.0,70,Offense,,Special Training Booth,,6.06
Frosticle,ホワイトブレード,風 (Wind),60.0,60,Offense,,Special Training Booth,,5.41
Tornado Tunnel,風穴ドライブ,風 (Wind),70.0,70,Offense,,Special Training Booth,,4.64
Plasma Cut,スパークエッジドリブル,火 (Fire),60.0,60,Offense,,Special Training Booth,,5.46
Endeavor Rush,エンデバーラン,風 (Wind),50.0,50,Offense,,Special Training Booth,,5.76
Grand Glow,オーバーグロウ,火 (Fire),50.0,50,Offense,,Special Training Booth,,5.72
Niagara Falls,ナイアガラフォールズ,風 (Wind),60.0,60,Offense,,Special Training Booth,,4.62
Ghoulish Glare,ブラックメイル,火 (Fire),70.0,70,Offense,,Special Training Booth,,6.01
Marshal's Light,ジェネラル・フラッグ,山 (Mountain),85.0,80,Offense,,Special Training Booth,,7.09
Feint Play,,,30.0,30,Defense,,Special Training Booth,,
Shoulder Tackle,,,30.0,30,Defense,,Special Training Booth,,
Curving Cut,,,30.0,30,Defense,,Special Training Booth,,
Cunning Pull,,,30.0,30,Defense,,Special Training Booth,,
Rolling Steal,,,30.0,30,Defense,,Special Training Booth,,
Killer Slide,キラースライド,林 (Forest),50.0,50,Defense,,Special Training Booth,,3.65
Coil Turn,コイルターン,風 (Wind),50.0,50,Defense,,Special Training Booth,,3.75
Earthquake,アースクェイク,山 (Mountain),50.0,50,Defense,,Special Training Booth,,4.99
Hurricane Arrows,ハリケーンアロー,風 (Wind),60.0,60,Defense,,Special Training Booth,,7.31
Spinning Cut,スピニングカット,風 (Wind),50.0,50,Defense,Shoot Block,Special Training Booth,,4.26
Mega Quake,メガクェイク,山 (Mountain),70.0,70,Defense,,Special Training Booth,,5.73
Volcano Cut,ボルケイノカット,火 (Fire),60.0,60,Defense,Shoot Block,Special Training Booth,,4.39
Double Cyclone,ダブルサイクロン,風 (Wind),70.0,70,Defense,,Special Training Booth,,4.27
Whirlwind Force,旋風陣,風 (Wind),60.0,60,Defense,Shoot Block,Special Training Booth,,5.86
Snow Angel,スノーエンジェル,風 (Wind),60.0,60,Defense,,Special Training Booth,,6.14
Stone Prison,ストーンプリズン,山 (Mountain),60.0,60,Defense,,Special Training Booth,,5.56
Zigzag Flame,ジグザグフレイム,火 (Fire),60.0,60,Defense,,Special Training Booth,,4.76
Whirlpool,サルガッソー,風 (Wind),60.0,60,Defense,,Special Training Booth,,5.09
Cyclone Sprint,スパイラルドロー,風 (Wind),50.0,50,Defense,,Special Training Booth,,5.66
Side Swipe,バニシングカット,無 (Void),70.0,70,Defense,,Special Training Booth,,4.59
Acrobotics,無影乱舞,山 (Mountain),85.0,80,Defense,,Special Training Booth,,5.11
Twirling Turtle,ダンシングタートル,風 (Wind),60.0,60,Defense,,Special Training Booth,,6.88
Foil Formula,ザ・マトリックス,林 (Forest),50.0,50,Defense,,Special Training Booth,,5.01
Deep Diver,ディープダイバー,風 (Wind),60.0,60,Defense,,Special Training Booth,,6.36
The Stronghold,ザ・フォート,山 (Mountain),85.0,80,Defense,,Special Training Booth,,8.38
Kraken Seaquake,海神・ザ・クェイク,風 (Wind),70.0,70,Defense,,Special Training Booth,,10.08
Strong Punch,,,30.0,30,Keep,,Special Training Booth,,
Power Catch,,,30.0,30,Keep,,Special Training Booth,,
Mighty Save,,,30.0,30,Keep,,Special Training Booth,,
Power Shield,パワーシールド,火 (Fire),60.0,60,Keep,,Special Training Booth,,3.34
Shot Pocket,シュートポケット,林 (Forest),50.0,50,Keep,,Special Training Booth,,4.96
Toughness Block,タフネスブロック,山 (Mountain),60.0,60,Keep,,Special Training Booth,,4.91
Full Power Shield,フルパワーシールド,火 (Fire),70.0,70,Keep,,Special Training Booth,,5.31
Burnout,バーンアウト,火 (Fire),60.0,60,Keep,,Special Training Booth,,5.81
Ice Block,アイスブロック,風 (Wind),60.0,60,Keep,,Special Training Booth,,4.99
Flash Upper,フラッシュアッパー,山 (Mountain),60.0,60,Keep,,Special Training Booth,,7.98
Nitro Slap,大爆発張り手,火 (Fire),60.0,60,Keep,,Special Training Booth,,6.77
Colosseum Guard,コロッセオガード,山 (Mountain),60.0,60,Keep,,Special Training Booth,,5.55
Electric Trap,エレキトラップ,風 (Wind),60.0,60,Keep,,Special Training Booth,,8.24
Power Spike,パワースパイク,火 (Fire),50.0,50,Keep,,Special Training Booth,,5.84
Snakebite,サーペントファング,山 (Mountain),70.0,70,Keep,,Special Training Booth,,6.99
Gyro-Blocker,ジャイロセービング,林 (Forest),60.0,60,Keep,,Special Training Booth,,6.09
Icy Grace,氷結の舞,風 (Wind),60.0,60,Keep,,Special Training Booth,,8.53
Cyber Realm,アウターワールド,林 (Forest),70.0,70,Keep,,Special Training Booth,,9.44
Stillness Drip,スウェットスティルネス,火 (Fire),50.0,50,Keep,,Special Training Booth,,6.92
Gravity Dune,グラビティデザート,山 (Mountain),60.0,60,Keep,,Special Training Booth,,8.86
Silent Inkstroke,明鏡止水,風 (Wind),60.0,60,Keep,,Special Training Booth,,7.09
Royal Shield,エンパイアシールド,火 (Fire),85.0,80,Keep,,Special Training Booth,,7.45
Tiger God Hand,ゴッドハンド・タイガー,山 (Mountain),85.0,80,Keep,,Special Training Booth,,
Sacred Embrace,女神大陸,林 (Forest),100.0,100,Keep,,Special Training Booth,,
Divine Deflectors,ゴッドフィンガーズ,風 (Wind),100.0,100,Keep,,Special Training Booth,,8.61
Ultimate Eleven Assault,最強イレブン波動,風 (Wind),100.0,100.0,Shoot,,Legendary Chest,,8.73
God Break,ゴッドブレイク,風 (Wind),85.0,80.0,Shoot,,Legendary Chest,,7.71
Elemental Destroyer,風林火山デストロイヤー,無 (Void),85.0,80.0,Shoot,,Legendary Chest,,8.09
The Phoenix,ザ・フェニックス,火 (Fire),85.0,80.0,Shoot,,Legendary Chest,,8.59
High Voltage,ハイボルテージ,風 (Wind),100.0,100.0,Keep,,Legendary Chest,,7.29
Zero Magnum,ゼロマグナム,無 (Void),85.0,80.0,Shoot,Counter Shoot,Legendary Chest ,,7.29
Omega Hand,オメガ・ザ・ハンド,山 (Mountain),100.0,100.0,Keep,,Legendary Chest,,8.65
Grand Fire,グランドファイア,火 (Fire),100.0,100.0,Shoot,Long Shoot,Legendary Chest ,,6.24
Celestial Smash,天空落とし,火 (Fire),85.0,80.0,Shoot,,Legendary Chest,,7.17
Emperor Penguin X,皇帝ペンギンＸ,火 (Fire),85.0,80.0,Shoot,,Legendary Chest,,9.86
