ID,Name(Romaji),Name(Localised),Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Shot AT,Focus AT,Focus DF,Scramble AT,Scramble DF,Castle Wall DF,KP,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,,男 (Male),,選手 (Player),,GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,187,233,243.5,202,195,203,955,Keep > Keep,Keep > Keep | Shoot > Shoot
3257,Semuru Tokuno,Humphrey Dictable,,男 (Male),,選手 (Player),,DF,GK,山 (Mountain),Justice,Feint Play | Breath Taker | Pancake Defence,174,222,246,213,208,199,852,Defense > Keep,Defense > Defense | Keep > Keep
3258,Rando Suku,Kik O'Round,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Nutmeg | Bouncing Bomb | Criss-Cross,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3259,Ibu Jakuna,Dirk Point,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Counter,Feint Dash | Spin Meister | Frosticle,209,264,242.5,185,184,175,762,Offense > Shoot,Offense > Offense | Shoot > Shoot
3260,Banko Urano,Molly Gunn,,女 (Female),,選手 (Player),,FW,MF,火 (Fire),Breach,Power Shot | Heart Beat | Doomsword Slash,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Offense
3261,Urieru Minami,Gord Squash,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Rough Play,Shoulder Tackle | Breath Taker | Pancake Defence,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
3262,Mitsuka Tsukuyomi,Luna Reid,,女 (Female),,選手 (Player),,DF,MF,山 (Mountain),Breach,Curving Cut | Blast Mine | Pancake Defence,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3263,Tokichi Momose,Cole Bludd,,男 (Male),,選手 (Player),,DF,FW,火 (Fire),Rough Play,Cunning Pull | Bouncing Bomb | Pincer Pinch,174,222,246,213,208,199,852,Defense > Shoot,Defense > Defense | Shoot > Shoot
3264,Chakuto Isogiri,Sidney Cal,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Bond,Crosscut Feint | Tesla Coil | Big Ball Trick,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3265,Moko Mokumo,Greena Grasse,,女 (Female),,選手 (Player),,GK,DF,風 (Wind),Bond,Shoulder Tackle | Somersault Stamp | Whirlpool,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
3266,Kamon Oide,Rick Whited,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Rough Play,Feint Dash | Optimal Trajectory | Big Ball Trick,209,264,242.5,185,184,175,762,Offense > Shoot,Offense > Offense | Shoot > Shoot
3267,Ikuma Futamoto,Carey Noakie,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Justice,Feint Dash | Bouncing Bunny | Acrobatic Keep,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3268,Tobisuke Muso,Dave Dreem,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Counter,Dust Kick | Thief's Eye | Big Ball Trick,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
3269,Kasumi Hosu,Donna Hooan,,女 (Female),,選手 (Player),,DF,MF,山 (Mountain),Bond,Feint Play | Boomerang Bluff | Pancake Defence,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3270,Sanpeita Onigiri,Bertie Cees,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Justice,Power Catch | Heart Beat | Rotary Sander,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
3271,Bungo Hebigami,Sylvester Tung,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Bond,Deceptive Step | Combustion Catch | Bungee Ball Burst,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
3272,Motoka Gakumichi,Steph Scorer,,女 (Female),,選手 (Player),,FW,MF,火 (Fire),Breach,Crosscut Feint | Bouncing Bomb | Plasma Cut,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3273,Mochimoto Hoda,Gen Tallgiant,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Rough Play,Rolling Steal | Easy Breezy | Whirlpool,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3274,Toru Kurige,Wick Bowler,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Rough Play,Nutmeg | Bouncing Bomb | Ball Lightning,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3275,Eriko Sato,Perpetua Naim,,女 (Female),,選手 (Player),,MF,DF,風 (Wind),Breach,Deceptive Step | Cyclone Sprint | Frosticle,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3276,Iwaie Kangoku,Rhys Eller,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Rough Play,Dust Kick | Hyper-Swiper | Frosticle,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
3277,Guriko Shoda,Ro St Nutts,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Tension,Feint Play | Stomper Stopper | Mystic Mist,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
3278,Michiya Nunoarashi,Byrd Stryke,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Justice,Shoulder Tackle | Boomerang Bluff | Acrobotics,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3279,Goro Rairaku,Bianco Snowden,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Curving Cut | Hey Presto | Tesla Coil,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3280,Munae Shoson,Folda Steel,,女 (Female),,選手 (Player),,DF,MF,林 (Forest),Breach,Rolling Steal | Transporter Device | Spatial Portal,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3281,Nako Kyuto,Bonnie Sytree,,女 (Female),,選手 (Player),,MF,DF,火 (Fire),Counter,Crosscut Feint | Fire Drill | Plasma Cut,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3282,Ryoichi Asanuno,Chief Kerr,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Tension,Nutmeg | Hyper-Swiper | Frosticle,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3283,Renji Subana,Benji Near,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Tension,Heel Flick | Somersault Stamp | Frosticle,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
3284,Tama Marui,Boo Fonte,,女 (Female),,選手 (Player),,DF,MF,火 (Fire),Bond,Cunning Pull | Heart Beat | Slice and Dice,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3285,Ueyori Kaoga,Wyther Longfeys,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Rolling Steal | Hey Presto | Tesla Coil,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3286,Kauru Takasugi,Griz Munkie,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Bond,Nutmeg | Spin Meister | Dance on Air,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3287,Kosuke Itomi,Buzz O'Hare,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Rough Play,Crosscut Feint | Tesla Coil | Big Ball Trick,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3288,Tsun Yokogami,Tsun Derrey,,女 (Female),,選手 (Player),,MF,DF,山 (Mountain),Bond,Crosscut Feint | Great Wall | Dance on Air,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3289,Erise Kido,Mia Tior,,女 (Female),,選手 (Player),,GK,MF,林 (Forest),Breach,Deceptive Step | Stomper Stopper | Big Ball Trick,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
3290,Wairu Takakoto,Noah Yu,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Bond,Crosscut Feint | Tesla Coil | Big Ball Trick,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
3291,Tenko Nunobe,Art Izan,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Curving Cut | Log Roll | Whirlpool,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3292,Kurisu Amoto,Downtworth Beyan,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Breach,Cunning Pull | Heart Beat | Slice and Dice,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
3293,Kairu Hando,Hartwin Throbb,,女 (Female),,選手 (Player),,FW,MF,山 (Mountain),Counter,Heel Flick | Bouncing Bunny | Dance on Air,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3294,D. Jakeman,Damo Jukes,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Tension,Dust Kick | Bouncing Bomb | Bungee Ball Burst,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3295,Hiranari Hiyoshi,Indy Iffrent,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Justice,Deceptive Step | Stomper Stopper | Big Ball Trick,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
3296,Shuya Koenji,Askel Blays,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Tension,Rolling Steal | Boomerang Bluff | Pancake Defence,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3297,Gogan Tokenaga,Burt Zerka,,男 (Male),,選手 (Player),,FW,GK,火 (Fire),Bond,Power Catch | Bouncing Bomb | Shot Stopper,230,273,231.5,170,172,164,733,Keep > Shoot,Shoot > Shoot | Keep > Keep
3298,Shinya Tanuki,Drew Pii,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Justice,Deceptive Step | Bouncing Bunny | Big Ball Trick,209,264,242.5,185,184,175,762,Offense > Shoot,Offense > Offense | Shoot > Shoot
3299,Shiiho Kadowaki,Alma Verchu,,女 (Female),,選手 (Player),,MF,DF,山 (Mountain),Justice,Deceptive Step | Jumbo Sandwich | Dance on Air,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3300,Midoru Mera,Sly Sundice,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Breach,Dust Kick | Cyclone Sprint | Easy Breezy Kid,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3301,Ninobee Inatomi,Pat Ryarke,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Breach,Rolling Steal | Stomper Stopper | Hunter's Net,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
3302,Niya Kozakai,Trixie Playfair,,女 (Female),,選手 (Player),,MF,DF,風 (Wind),Counter,Feint Play | Dragster | Whirlpool,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
3303,Reon Nabo,Humphrey Hedrass,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Bond,Feint Play | Boomerang Bluff | Pancake Defence,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
3304,Azaya Karako,Hugh Handy,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Counter,Crosscut Feint | Spin Meister | Frosticle,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3305,Jiin Miyane,Len Grayves,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Breach,Crosscut Feint | Spin Meister | Easy Breezy Kid,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3306,Tenta Tsukuba,Mick Sologee,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Tension,Feint Dash | Hyper-Swiper | Easy Breezy Kid,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
3307,Koshiro Sassa,Colin Urlane,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Tension,Heel Flick | Thief's Eye | Big Ball Trick,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3308,Okojo Shimogiri,Francie Holly,,女 (Female),,選手 (Player),,MF,FW,風 (Wind),Bond,Feint Dash | Spin Meister | Easy Breezy Kid,209,264,242.5,185,184,175,762,Offense > Shoot,Offense > Offense | Shoot > Shoot
3309,Miton Shimogiri,Mitzi Holly,,女 (Female),,選手 (Player),,DF,MF,火 (Fire),Tension,Shoulder Tackle | Heart Beat | Pincer Pinch,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3310,Yoni Kazeno,Breeze Windward,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Tension,Feint Dash | Spin Meister | Easy Breezy Kid,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3311,Yu Gushiken,Sloan Steddy,,男 (Male),,選手 (Player),,MF,FW,山 (Mountain),Justice,Crosscut Feint | Optimal Trajectory | Dance on Air,209,264,242.5,185,184,175,762,Offense > Shoot,Offense > Offense | Shoot > Shoot
3312,Nozomu Chiyogi,Frank Redmond,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Tension,Deceptive Step | Bouncing Bomb | Plasma Cut,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3313,Ai Harano,Evita Gowell,,女 (Female),,選手 (Player),,GK,DF,林 (Forest),Counter,Rolling Steal | Stomper Stopper | Spatial Portal,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
3314,Moroomi Yamabe,Rundeep Stillwater,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Tension,Deceptive Step | Jumbo Sandwich | Dance on Air,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
3315,Hyakume Hachiya,Maya O'Pier,,女 (Female),,選手 (Player),,FW,MF,火 (Fire),Bond,Feint Dash | Bouncing Bomb | Criss-Cross,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3316,Reiji Raido,Cash Tempest,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Counter,Heel Flick | Thief's Eye | Big Ball Trick,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3317,Meiko Raido,Ramona Tempest,,女 (Female),,選手 (Player),,FW,MF,風 (Wind),Breach,Dust Kick | Spin Meister | Frosticle,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3318,Akari Raido,Rolanda Tempest,,女 (Female),,選手 (Player),,MF,FW,山 (Mountain),Bond,Nutmeg | Optimal Trajectory | Rising Dragon,209,264,242.5,185,184,175,762,Offense > Shoot,Offense > Offense | Shoot > Shoot
3319,Mitsuru Hiko,Shilo Placidus,,男 (Male),,選手 (Player),,FW,DF,火 (Fire),Rough Play,Feint Play | Bouncing Bomb | Slice and Dice,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
3320,Panto Kuroishi,Uno Blackley,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Justice,Shoulder Tackle | Combustion Catch | Pincer Pinch,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
3321,Pita Kuroishi,Due Blackley,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Bond,Rolling Steal | Heart Beat | Pincer Pinch,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3322,Perio Kuroishi,Quattro Blackley,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Counter,Heel Flick | Bouncing Bomb | Ball Lightning,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3323,Ponsuke Kuroishi,Cinque Blackley,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Breach,Dust Kick | Bouncing Bomb | Swallow Counter,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3324,Panta Shiraki,Eins Whitely,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Bond,Curving Cut | Somersault Stamp | Whirlpool,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
3325,Pito Shiraki,Zwei Whitely,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Justice,Cunning Pull | Easy Breezy | Ozone Flayer,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3326,Pesuke Shiraki,Vier Whitely,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Counter,Crosscut Feint | Spin Meister | Frosticle,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3327,Ponta Shiraki,Fünf Whitely,,男 (Male),,選手 (Player),,FW,DF,風 (Wind),Bond,Rolling Steal | Spin Meister | Ozone Flayer,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
3328,Crim Baba,Nan Desuka,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Tension,Deceptive Step | Breath Taker | Rising Dragon,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
3329,Kumori Tsuyuhara,Cloudy Forbes,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Tension,Rolling Steal | Heart Beat | Goopy Gloopy Goo,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3330,Mira Atoro,Faye Ted,,女 (Female),,選手 (Player),,MF,FW,山 (Mountain),Bond,Power Shot | Boomerang Bluff | Jumping Jack ,209,273.5,253.5,181,183,164,733,Shoot > Offense,Offense > Offense | Shoot > Shoot
3331,Kyoko Kuroto,Maude Erne,,女 (Female),,選手 (Player),,FW,DF,林 (Forest),Tension,Cunning Pull | Bouncing Bunny | Spatial Portal,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
3332,Kako Yoshiie,Anne Sestral,,女 (Female),,選手 (Player),,FW,MF,風 (Wind),Justice,Nutmeg | Spin Meister | Frosticle,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3333,Makiya Tsumuji,Gale Sweep,,男 (Male),,選手 (Player),,DF,GK,風 (Wind),Justice,Power Catch | Cyclone Sprint | Negative Feedback,167,209,244.5,224,220,208,870,Keep > Defense,Defense > Defense | Keep > Keep
3334,Seiya Otori,Theo Therr,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Justice,Feint Play | Boomerang Bluff | Okehazama Ravine,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3335,Go Araragi,Samson Bigglesworth,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Rough Play,Deceptive Step | Breath Taker | Dance on Air,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
3336,Hikage Suzukaze,Adam Orable,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Tension,Power Shot | Easy Breezy | Sonic Shot,209,273.5,253.5,181,183,164,733,Shoot > Offense,Offense > Offense | Shoot > Shoot
3337,Rain Nijihashi,Rain Bowe,,女 (Female),,選手 (Player),,MF,FW,林 (Forest),Rough Play,Nutmeg | Bouncing Bunny | Big Ball Trick,210,266.5,244.5,186,185,177,767,Offense > Shoot,Offense > Offense | Shoot > Shoot
3338,Guts Iron,Gazza Irons,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Breach,Power Catch | Blast Mine | Snakebite,180,225,233.5,196,191,201,925,Keep > Offense,Keep > Keep | Offense > Offense
3339,Jiisan,Grandpa Danger,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Justice,Deceptive Step | Overnight Fortress | Plasma Cut,171,214,248.5,226,223,211,885,Offense > Defense,Defense > Defense | Offense > Offense
3340,Okashideka,Shortcake Holmes,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Breach,Feint Dash | Jumbo Sandwich | Acrobatic Keep,169,213,248.5,226,221,209,881,Offense > Defense,Defense > Defense | Offense > Offense
3341,Temina Kadotsuka,Corvus Cardson,,男 (Male),,選手 (Player),,FW,DF,山 (Mountain),Bond,Curving Cut | Bouncing Bomb | Pancake Defence,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
3342,Reia Inagaki,Avery Rarecard,,男 (Male),,選手 (Player),,FW,DF,風 (Wind),Justice,Rolling Steal | Spin Meister | Ozone Flayer,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
3343,SasuK,Spot Barkley,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Counter,Cunning Pull | Heart Beat | Slice and Dice,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
3344,Atari Sugoi,Esau Tariq,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Justice,Feint Play | Transporter Device | Spatial Portal,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
3345,Hayami Furetsu,Fletch Blitzen,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Bond,Dust Kick | Spin Meister | Frosticle,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3346,Roppi Kamimura,Lawrence Leepson,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Justice,Strong Punch | Gyro-Blocker | Wormhole,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Shoot > Offense
3347,Tasuke Shinsen,Bill Ingsgate,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Justice,Dust Kick | Bouncing Bunny | Dance on Air,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
3348,Susumu Tamada,Mickey Schmitt,,男 (Male),,選手 (Player),,DF,FW,風 (Wind),Breach,Cunning Pull | Spin Meister | Whirlpool,174,222,246,213,208,199,852,Defense > Shoot,Defense > Defense | Shoot > Shoot
3349,Keiko Hiban,Deliah Azel,,女 (Female),,選手 (Player),,MF,FW,火 (Fire),Breach,Power Shot | Blast Mine | Sidewinder,209,273.5,253.5,181,183,164,733,Shoot > Offense,Offense > Offense | Shoot > Shoot
3350,Rito Korimine,Dirk Eisberg,,男 (Male),,選手 (Player),,MF,FW,山 (Mountain),Counter,Heel Flick | Mystifying Mist | Big Ball Trick,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
3351,Kerito Muteki,Damon Valiant,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Counter,Nutmeg | Bouncing Bomb | Criss-Cross,232,274.5,232.5,171,175,166,737,Offense > Shoot,Shoot > Shoot | Offense > Offense
3352,Morito Muteki,Everard Valiant,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Counter,Rolling Steal | Dragster | Whirlpool,177,225.5,248.5,215,211,202,863,Defense > Offense,Defense > Defense | Offense > Offense
3353,Ton Nino,Ton Nino,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Tension,Crosscut Feint | Cyclone Sprint | Easy Breezy Kid,210,266.5,244.5,186,185,177,767,Offense > Defense,Offense > Offense | Defense > Defense
3479,Fei Rune,Fei Rune,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Breach,Power Shot | Bouncing Bunny | Sir Rabby,226,271,244.5,188,191,179,786,Shoot > Shoot,Offense > Shoot | Shoot > Offense
3480,Clark Wonderbot,Clark von Wunderbar,,不明,,監督 (Manager),,FW,MF,風 (Wind),Breach,Low Drive | Zigzag Spark | Inazuma-1,221,264,236.5,183,185,174,758,Shoot > Offense,Shoot > Shoot | Offense > Offense
3481,Yuichi Tsurugi,Vladimir Blade,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Power Shot | Flurry Dash | Pendragon,236,280.5,240.5,178,181,173,771,Shoot > Offense,Shoot > Offense | Shoot > Offense
3482,Kinako Nanobana,Goldie Lemmon,,女 (Female),,選手 (Player),,DF,FW,火 (Fire),Tension,Shoulder Tackle | Goopy Gloopy Goo | Amaterasu,184,234,254.5,219,216,207,883,Defense > Defense,Shoot > Offense | Shoot > Shoot
3483,Torb,Sor,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Justice,Cunning Pull | Jumbo Sandwich | Jagwarrior,177,225.5,248.5,215,211,202,863,Defense > Defense,Offense > Offense | Shoot > Offense
3484,Machos,Biggsy,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Tension,Strong Punch | Breath Taker | Power Spike,178,223.5,236.5,197,189,198,935,Keep > Keep,Defense > Keep | Shoot > Offense
3485,Smile,Smiley,,女 (Female),,選手 (Player),,DF,MF,林 (Forest),Bond,Feint Play | Fractal Repeller | Spatial Portal,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
3486,Straw,Skinny,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Breach,Cunning Pull | Fractal Repeller | Future Eye,174,222,246,213,208,199,852,Defense > Defense,Offense > Defense | Shoot > Offense
3487,Wally,Smarty,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Bond,Rolling Steal | Fractal Repeller | Log Roll,174,222,246,213,208,199,852,Defense > Defense,Defense > Shoot | Offense > Defense
3488,Deboon,Chunky,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Cunning Pull | Fractal Repeller | Future Eye,174,222,246,213,208,199,852,Defense > Defense,Defense > Shoot | Offense > Defense
3489,Chibit,Tiny,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Justice,Nutmeg | Illusory Ball | Thief's Eye,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Defense | Defense > Defense
3490,Mantle,Hairy,,女 (Female),,選手 (Player),,MF,DF,林 (Forest),Bond,Crosscut Feint | Illusory Ball | Whirlwind Force,210,266.5,244.5,186,185,177,767,Offense > Offense,Offense > Defense | Defense > Defense
3491,Drill,Spikey,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Tension,Nutmeg | Illusory Ball | Hyper-Swiper,209,264,242.5,185,184,175,762,Offense > Offense,Defense > Defense | Defense > Defense
3492,Kimoro,Creepy,,男 (Male),,選手 (Player),,FW,DF,林 (Forest),Tension,Power Shot | Warhead | Illusory Ball,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Defense > Defense
3493,Zanou,Hotel,,男 (Male),,選手 (Player),,GK,FW,山 (Mountain),Bond,Strong Punch | Stomper Stopper | Gyro-Blocker,178,223.5,236.5,197,189,198,935,Keep > Keep,Keep > Keep | Shoot > Shoot
3494,Medam,Oscar,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Feint Play | Tesla Coil | Breath Taker,174,222,246,213,208,199,852,Defense > Defense,Shoot > Defense | Offense > Defense
3495,Kuol,Echo,,女 (Female),,選手 (Player),,DF,GK,林 (Forest),Tension,Cunning Pull | Tesla Coil | Shot Pocket,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Keep > Keep
3496,Gaura,Golf,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Justice,Shoulder Tackle | Tesla Coil | Spin Out,174,222,246,213,208,199,852,Defense > Defense,Keep > Defense | Offense > Defense
3497,Netan,Charlie,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Rough Play,Dust Kick | Spin Out | Warhead,209,264,242.5,185,184,175,762,Offense > Offense,Defense > Shoot | Shoot > Shoot
